dataset,model,paper
SIPaKMeD,DL+PCA+GWO,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-sipakmed"">Cervical Cytology Classification Using PCA &amp; GWO Enhanced Deep Features Selection</a>
</div>"
"CIFAR-10,40%SymmetricNoise",FaMUS,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-cifar-10-40-symmetric"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
"CIFAR-10,60%SymmetricNoise",MentorMix,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-cifar-10-60-symmetric"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
"CIFAR-100,40%SymmetricNoise",FaMUS,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-cifar-100-40"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
WebVision,Ours,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-webvision"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
HErlev,DL+PCA+GWO,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-herlev"">Cervical Cytology Classification Using PCA &amp; GWO Enhanced Deep Features Selection</a>
</div>"
Sports10,MaxMarginContrastive,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-sports10"">Contrastive Learning of Generalized Game Representations</a>
</div>"
"CIFAR-100,60%SymmetricNoise",MentorMix,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-cifar-100-60"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
RedMiniImageNet20%labelnoise,FaMUS,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-red-miniimagenet-20"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
RedMiniImageNet40%labelnoise,FaMUS,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-red-miniimagenet-40"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
RedMiniImageNet60%labelnoise,FaMUS,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-red-miniimagenet-60"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
RedMiniImageNet80%labelnoise,FaMUS,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-red-miniimagenet-80"">Faster Meta Update Strategy for Noise-Robust Deep Learning</a>
</div>"
SARS-COV-2,Fuzzyrank-basedfusionofCNNmodelsusingGompertzfunction,"<div class=""paper blue-links"">
<a href=""/sota/image-classification-on-sars-cov-2"">Fuzzy Rank-based Fusion of CNN Models using Gompertz Function for Screening COVID-19 CT-Scans</a>
</div>"
